UserId,AvgPause,Pause1,Pause2,Pause3
1,0.273188261,0.747608077,0.508945362,0.666682028
2,0.595492138,0.595706665,0.403084737,0.519518897
3,0.095574948,0.336862446,0.421503356,0.738627542
4,0.923886296,0.302976425,0.294772666,0.683174383
5,0.367455049,0.869477561,0.993241244,0.985227833
6,0.292568219,0.722595048,0.308701556,0.017965242
7,0.671604291,0.740504584,0.21725113,0.601132082
8,0.858280189,0.127962435,0.432178984,0.11182046
9,0.674655732,0.827553392,0.899952283,0.914033962
10,0.273082608,0.621825659,0.893407985,0.392394293
11,0.114357625,0.742740656,0.722882211,0.910984738
12,0.843515554,0.536908422,0.148023382,0.832427025
13,0.375285954,0.348186698,0.16355412,0.328671777
14,0.428276339,0.177831855,0.443459818,0.901952762
15,0.376927071,0.520489537,0.812521733,0.748618878
16,0.327940607,0.820516509,0.981702216,0.428580234
17,0.379150815,0.17904326,0.871433275,0.567216433
18,0.061770315,0.249215326,0.267797659,0.63954527
19,0.031554322,0.340459574,0.898940341,0.387553601
20,0.165305237,0.586998835,0.947146597,0.483033669
21,0.515679821,0.95495624,0.635915987,0.490130875
22,0.642784439,0.921364515,0.530451796,0.825133992
23,0.125307817,0.537443334,0.612841063,0.916488876
24,0.518688731,0.724469651,0.707718857,0.019924995
25,0.280566871,0.851603043,0.978599143,0.225604613
26,0.720814095,0.944538319,0.556004011,0.024241301
27,0.964592897,0.621862912,0.913695543,0.553576564
28,0.764233783,0.863639008,0.57758053,0.934273093
29,0.961693711,0.972591591,0.288161906,0.413811799
30,0.130972949,0.165994506,0.454564937,0.228740417
31,0.539523738,0.715353651,0.412705497,0.021191065
32,0.016311592,0.995626347,0.384506482,0.405680633
33,0.299668852,0.077834483,0.301381343,0.622526374
34,0.651086205,0.434716835,0.970438522,0.900039175
35,0.362636046,0.654379607,0.900005107,0.680969178
36,0.14387835,0.203223693,0.313955664,0.238477021
37,0.555310451,0.214189402,0.151812954,0.949557461
38,0.853113199,0.515241956,0.124075375,0.84926964
39,0.92427349,0.399864254,0.055187914,0.444430371
40,0.056946292,0.44498048,0.120974857,0.685320429
41,0.079615125,0.014943015,0.914989143,0.387236484
42,0.981602835,0.945106086,0.493760434,0.781272624
43,0.172065149,0.877597003,0.10240501,0.476275417
44,0.584013061,0.316524486,0.981606364,0.077923885
45,0.395795682,0.197618902,0.621876572,0.455807026
46,0.905917901,0.562136718,0.210704557,0.276368159
47,0.63075077,0.009431517,0.919192221,0.799228385
48,0.37048888,0.301279492,0.451023481,0.162250681
49,0.055011684,0.433474292,0.473819723,0.726660644
50,0.651330708,0.973763699,0.145310946,0.994896149
51,0.496815584,0.566711517,0.060831443,0.791401684
52,0.874588548,0.166724451,0.01994887,0.746230744
53,0.925247092,0.167136432,0.569722082,0.604770277
54,0.432512639,0.738184062,0.424047326,0.058900236
55,0.373730014,0.282277766,0.526715252,0.565491495
56,0.727544929,0.969414906,0.794261443,0.531984394
57,0.555640846,0.148724185,0.108611352,0.8750906
58,0.803284573,0.253245607,0.38581811,0.471966445
59,0.978762189,0.175177417,0.424013655,0.869446425
60,0.048749274,0.453161804,0.534602198,0.394757148
61,0.357882478,0.709941933,0.840168733,0.914315592
62,0.189554814,0.953599675,0.66009804,0.476788649
63,0.642455604,0.076449508,0.049545447,0.697404841
64,0.644269634,0.116558345,0.852217729,0.758813889
65,0.160859203,0.80545725,0.735215743,0.316484315
66,0.218904479,0.299613938,0.491072141,0.163441063
67,0.3983393,0.728963482,0.274369977,0.250104364
68,0.171411514,0.265320204,0.585512663,0.025265739
69,0.739941663,0.695158052,0.661728531,0.979556048
70,0.150632116,0.556821006,0.237610122,0.323316172
71,0.751347398,0.664007177,0.377664538,0.70858811
72,0.247512032,0.450904246,0.571509506,0.756750108
73,0.879780642,0.040525854,0.994144462,0.894919275
74,0.611542071,0.775984315,0.839968576,0.835704256
75,0.559007117,0.711699242,0.819281849,0.67790605
76,0.356414993,0.040958482,0.88681182,0.829302126
77,0.724969909,0.599605999,0.286707754,0.42651511
78,0.652703131,0.104028994,0.271441407,0.034549587
79,0.094161772,0.550099013,0.716081063,0.54625183
80,0.698534353,0.772245399,0.908592863,0.658046843
81,0.314982808,0.433367919,0.285358711,0.27540356
82,0.505006716,0.736749786,0.442962935,0.962900037
83,0.615505276,0.102337284,0.383256425,0.972149143
84,0.269716058,0.950257979,0.932697652,0.619127646
85,0.405968755,0.975201407,0.461828947,0.442469805
86,0.175837481,0.197991373,0.521818097,0.764408665
87,0.970756088,0.05537434,0.044034909,0.262106884
88,0.405797918,0.462151892,0.334109569,0.693382509
89,0.165851113,0.481170714,0.733834201,0.564188358
90,0.543209808,0.70875177,0.257583021,0.007392807
91,0.554681436,0.823044245,0.890318391,0.430502813
92,0.053754403,0.436266646,0.373728087,0.887906779
93,0.058268492,0.142843824,0.858442686,0.950609024
94,0.657632441,0.533579951,0.251456844,0.795635732
95,0.747144282,0.436491636,0.394991325,0.979573286
96,0.498960276,0.372374387,0.619801792,0.150733297
97,0.026604003,0.302172671,0.269116032,0.394390619
98,0.74679196,0.726645214,0.476140095,0.750939699
99,0.78882688,0.414321974,0.76722134,0.878453017
100,0.935774007,0.842587177,0.092866136,0.588252352
